Dug Big Rock with Bronze Chisel#forged	20453
Split Big Rock#bronze chisel,forged	20454
Stone Block with Bronze Chisel#forged	20456
Stone Adze Mold With Bronze Chisel#forged	20391
Stone Ax Mold With Bronze Chisel#forged	20390
Stone Blade Mold With Bronze Chisel#forged	20394
Stone Chisel Mold With Bronze Chisel#forged	20407
Stone File Mold With Bronze Chisel#forged	20393
Stone Froe Mold With Bronze Chisel#forged	20392
Stone Hammer Mold With Bronze Chisel#forged	20389
Stone Pick Mold With Bronze Chisel#forged	20396
Stone Shovel Mold With Bronze Chisel#forged	20395
Anvil Mold Half With Bronze Chisel#forged	20452
